(2013-03-01 00:00:00,4.0),
(2013-03-01 01:00:00,4.0),
(2013-03-01 02:00:00,5.0),
(2013-03-01 03:00:00,11.0),
(2013-03-01 04:00:00,12.0),
(2013-03-01 05:00:00,18.0),
(2013-03-01 06:00:00,18.0),
(2013-03-01 07:00:00,19.0),
(2013-03-01 08:00:00,16.0),
(2013-03-01 09:00:00,12.0),
(2013-03-01 10:00:00,9.0),
(2013-03-01 11:00:00,9.0),
(2013-03-01 12:00:00,7.0),
(2013-03-01 13:00:00,7.0),
(2013-03-01 14:00:00,7.0),
(2013-03-01 15:00:00,7.0),
(2013-03-01 16:00:00,9.0),
(2013-03-01 17:00:00,11.0),
(2013-03-01 18:00:00,8.0),
(2013-03-01 19:00:00,12.0),
(2013-03-01 20:00:00,13.0),
(2013-03-01 21:00:00,16.0),
(2013-03-01 22:00:00,21.0),
(2013-03-01 23:00:00,26.0):
--------------------------------
(2013-03-01 00:00:00,7.0),
(2013-03-01 01:00:00,7.0),
(2013-03-01 02:00:00,10.0),
(2013-03-01 03:00:00,11.0),
(2013-03-01 04:00:00,12.0),
(2013-03-01 05:00:00,18.0),
(2013-03-01 06:00:00,32.0),
(2013-03-01 07:00:00,41.0),
(2013-03-01 08:00:00,43.0),
(2013-03-01 09:00:00,28.0),
(2013-03-01 10:00:00,12.0),
(2013-03-01 11:00:00,14.0),
(2013-03-01 12:00:00,13.0),
(2013-03-01 13:00:00,12.0),
(2013-03-01 14:00:00,11.0),
(2013-03-01 15:00:00,14.0),
(2013-03-01 16:00:00,13.0),
(2013-03-01 17:00:00,15.0),
(2013-03-01 18:00:00,20.0),
(2013-03-01 19:00:00,30.0),
(2013-03-01 20:00:00,33.0),
(2013-03-01 21:00:00,35.0),
(2013-03-01 22:00:00,57.0),
(2013-03-01 23:00:00,54.0):
--------------------------------
(2013-03-01 00:00:00,300.0),
(2013-03-01 01:00:00,300.0),
(2013-03-01 02:00:00,300.0),
(2013-03-01 03:00:00,300.0),
(2013-03-01 04:00:00,300.0),
(2013-03-01 05:00:00,400.0),
(2013-03-01 06:00:00,500.0),
(2013-03-01 07:00:00,500.0),
(2013-03-01 08:00:00,500.0),
(2013-03-01 09:00:00,400.0),
(2013-03-01 10:00:00,400.0),
(2013-03-01 11:00:00,400.0),
(2013-03-01 12:00:00,300.0),
(2013-03-01 13:00:00,400.0),
(2013-03-01 14:00:00,400.0),
(2013-03-01 15:00:00,400.0),
(2013-03-01 16:00:00,400.0),
(2013-03-01 17:00:00,400.0),
(2013-03-01 18:00:00,500.0),
(2013-03-01 19:00:00,500.0),
(2013-03-01 20:00:00,600.0),
(2013-03-01 21:00:00,500.0),
(2013-03-01 22:00:00,700.0),
(2013-03-01 23:00:00,600.0):
--------------------------------
(2013-03-01 00:00:00,77.0),
(2013-03-01 01:00:00,77.0),
(2013-03-01 02:00:00,73.0),
(2013-03-01 03:00:00,72.0),
(2013-03-01 04:00:00,72.0),
(2013-03-01 05:00:00,66.0),
(2013-03-01 06:00:00,50.0),
(2013-03-01 07:00:00,43.0),
(2013-03-01 08:00:00,45.0),
(2013-03-01 09:00:00,59.0),
(2013-03-01 10:00:00,72.0),
(2013-03-01 11:00:00,71.0),
(2013-03-01 12:00:00,74.0),
(2013-03-01 13:00:00,76.0),
(2013-03-01 14:00:00,77.0),
(2013-03-01 15:00:00,76.0),
(2013-03-01 16:00:00,76.0),
(2013-03-01 17:00:00,74.0),
(2013-03-01 18:00:00,70.0),
(2013-03-01 19:00:00,60.0),
(2013-03-01 20:00:00,55.0),
(2013-03-01 21:00:00,50.0),
(2013-03-01 22:00:00,32.0),
(2013-03-01 23:00:00,36.0):
----------------------------------
(2013-03-01 00:00:00,-0.7),(2013-03-01 01:00:00,-1.1),(2013-03-01 02:00:00,-1.1),(2013-03-01 03:00:00,-1.4),(2013-03-01 04:00:00,-2.0),(2013-03-01 05:00:00,-2.2),(2013-03-01 06:00:00,-2.6),(2013-03-01 07:00:00,-1.6),(2013-03-01 08:00:00,0.1),(2013-03-01 09:00:00,1.2),(2013-03-01 10:00:00,1.9),(2013-03-01 11:00:00,2.9),(2013-03-01 12:00:00,3.9),(2013-03-01 13:00:00,5.3),(2013-03-01 14:00:00,6.0),(2013-03-01 15:00:00,6.2),(2013-03-01 16:00:00,5.9),(2013-03-01 17:00:00,4.3),(2013-03-01 18:00:00,3.1),(2013-03-01 19:00:00,2.3),(2013-03-01 20:00:00,1.7),(2013-03-01 21:00:00,0.6),(2013-03-01 22:00:00,0.9),(2013-03-01 23:00:00,-0.2):(2013-03-01 00:00:00,1023.0),(2013-03-01 01:00:00,1023.2),(2013-03-01 02:00:00,1023.5),(2013-03-01 03:00:00,1024.5),(2013-03-01 04:00:00,1025.2),(2013-03-01 05:00:00,1025.6),(2013-03-01 06:00:00,1026.5),(2013-03-01 07:00:00,1027.4),(2013-03-01 08:00:00,1028.3),(2013-03-01 09:00:00,1028.5),(2013-03-01 10:00:00,1028.2),(2013-03-01 11:00:00,1028.2),(2013-03-01 12:00:00,1027.3),(2013-03-01 13:00:00,1026.2),(2013-03-01 14:00:00,1025.9),(2013-03-01 15:00:00,1025.7),(2013-03-01 16:00:00,1025.6),(2013-03-01 17:00:00,1026.3),(2013-03-01 18:00:00,1027.4),(2013-03-01 19:00:00,1028.3),(2013-03-01 20:00:00,1029.1),(2013-03-01 21:00:00,1030.1),(2013-03-01 22:00:00,1030.5),(2013-03-01 23:00:00,1030.5):(2013-03-01 00:00:00,-18.8),(2013-03-01 01:00:00,-18.2),(2013-03-01 02:00:00,-18.2),(2013-03-01 03:00:00,-19.4),(2013-03-01 04:00:00,-19.5),(2013-03-01 05:00:00,-19.6),(2013-03-01 06:00:00,-19.1),(2013-03-01 07:00:00,-19.1),(2013-03-01 08:00:00,-19.2),(2013-03-01 09:00:00,-19.3),(2013-03-01 10:00:00,-19.4),(2013-03-01 11:00:00,-20.5),(2013-03-01 12:00:00,-19.7),(2013-03-01 13:00:00,-19.3),(2013-03-01 14:00:00,-19.6),(2013-03-01 15:00:00,-18.6),(2013-03-01 16:00:00,-18.1),(2013-03-01 17:00:00,-18.7),(2013-03-01 18:00:00,-18.4),(2013-03-01 19:00:00,-18.4),(2013-03-01 20:00:00,-17.3),(2013-03-01 21:00:00,-16.7),(2013-03-01 22:00:00,-17.4),(2013-03-01 23:00:00,-17.4):(2013-03-01 00:00:00,0.0),(2013-03-01 01:00:00,0.0),(2013-03-01 02:00:00,0.0),(2013-03-01 03:00:00,0.0),(2013-03-01 04:00:00,0.0),(2013-03-01 05:00:00,0.0),(2013-03-01 06:00:00,0.0),(2013-03-01 07:00:00,0.0),(2013-03-01 08:00:00,0.0),(2013-03-01 09:00:00,0.0),(2013-03-01 10:00:00,0.0),(2013-03-01 11:00:00,0.0),(2013-03-01 12:00:00,0.0),(2013-03-01 13:00:00,0.0),(2013-03-01 14:00:00,0.0),(2013-03-01 15:00:00,0.0),(2013-03-01 16:00:00,0.0),(2013-03-01 17:00:00,0.0),(2013-03-01 18:00:00,0.0),(2013-03-01 19:00:00,0.0),(2013-03-01 20:00:00,0.0),(2013-03-01 21:00:00,0.0),(2013-03-01 22:00:00,0.0),(2013-03-01 23:00:00,0.0):(2013-03-01 00:00:00,4.4),(2013-03-01 01:00:00,4.7),(2013-03-01 02:00:00,5.6),(2013-03-01 03:00:00,3.1),(2013-03-01 04:00:00,2.0),(2013-03-01 05:00:00,3.7),(2013-03-01 06:00:00,2.5),(2013-03-01 07:00:00,3.8),(2013-03-01 08:00:00,4.1),(2013-03-01 09:00:00,2.6),(2013-03-01 10:00:00,3.6),(2013-03-01 11:00:00,3.7),(2013-03-01 12:00:00,5.1),(2013-03-01 13:00:00,4.3),(2013-03-01 14:00:00,4.4),(2013-03-01 15:00:00,2.8),(2013-03-01 16:00:00,3.9),(2013-03-01 17:00:00,2.8),(2013-03-01 18:00:00,2.1),(2013-03-01 19:00:00,2.8),(2013-03-01 20:00:00,2.1),(2013-03-01 21:00:00,0.8),(2013-03-01 22:00:00,1.8),(2013-03-01 23:00:00,1.4):24.0
